sample_accession	donor_id	feature_index_0based	feature_id	feature_name	gene	feature_chrom	feature_start	feature_end	best_priority	model_terms_supported	target_sets	feature_type	linked_gene	peak_category	selection_reason
GSM9558423	H187	13111	ENSG00000075624	ACTB	ACTB	chr7	5530600	5530602	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	Gene Expression	ACTB		target_gene_expression_row
GSM9558423	H187	29977	ENSG00000184009	ACTG1	ACTG1	chr17	81512754	81512818	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	Gene Expression	ACTG1		target_gene_expression_row
GSM9558423	H187	22384	ENSG00000139352	ASCL1	ASCL1	chr12	102957673	102957674	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	Gene Expression	ASCL1		target_gene_expression_row
GSM9558423	H187	8643	ENSG00000172238	ATOH1	ATOH1	chr4	93828752	93828753	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	Gene Expression	ATOH1		target_gene_expression_row
GSM9558423	H187	17345	ENSG00000125492	BARHL1	BARHL1	chr9	132582605	132582659	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	Gene Expression	BARHL1		target_gene_expression_row
GSM9558423	H187	9566	ENSG00000176788	BASP1	BASP1	chr5	17216822	17217631	high	ConstructionBalance;EpigenomicCompatibility	Tier 3 broad both-screen mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	Gene Expression	BASP1		target_gene_expression_row
GSM9558423	H187	24832	ENSG00000127152	BCL11B	BCL11B	chr14	99271484	99272197	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Gene Expression	BCL11B		target_gene_expression_row
GSM9558423	H187	22695	ENSG00000110987	BCL7A	BCL7A	chr12	122019421	122021886	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	Gene Expression	BCL7A		target_gene_expression_row
GSM9558423	H187	24270	ENSG00000125378	BMP4	BMP4	chr14	53953454	53956825	high	NicheSignal	shared_neurogenic_niche_state	Gene Expression	BMP4		target_gene_expression_row
GSM9558423	H187	18330	ENSG00000107779	BMPR1A	BMPR1A	chr10	86756649	86756650	high	NicheSignal	shared_neurogenic_niche_state	Gene Expression	BMPR1A		target_gene_expression_row
GSM9558423	H187	23944	ENSG00000179933	C14orf119	C14ORF119	chr14	23095504	23095525	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Gene Expression	C14ORF119		target_gene_expression_row
GSM9558423	H187	27304	ENSG00000155330	C16orf87	C16ORF87	chr16	46831161	46831180	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Gene Expression	C16ORF87		target_gene_expression_row
GSM9558423	H187	28812	ENSG00000108666	C17orf75	C17ORF75	chr17	32342172	32342209	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Gene Expression	C17ORF75		target_gene_expression_row
GSM9558423	H187	147	ENSG00000198912	C1orf174	C1ORF174	chr1	3900271	3900272	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Gene Expression	C1ORF174		target_gene_expression_row
GSM9558423	H187	2616	ENSG00000116667	C1orf21	C1ORF21	chr1	184387028	184387029	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Gene Expression	C1ORF21		target_gene_expression_row
GSM9558423	H187	17709	ENSG00000165985	C1QL3	C1QL3	chr10	16521144	16521879	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Gene Expression	C1QL3		target_gene_expression_row
GSM9558423	H187	9773	ENSG00000172244	C5orf34	C5ORF34	chr5	43515147	43515148	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Gene Expression	C5ORF34		target_gene_expression_row
GSM9558423	H187	16681	ENSG00000155621	C9orf85	C9ORF85	chr9	71911544	71911661	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Gene Expression	C9ORF85		target_gene_expression_row
GSM9558423	H187	13796	ENSG00000153956	CACNA2D1	CACNA2D1	chr7	82443714	82443777	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Gene Expression	CACNA2D1		target_gene_expression_row
GSM9558423	H187	2260	ENSG00000162706	CADM3	CADM3	chr1	159171608	159171615	high	ConstructionBalance;EpigenomicCompatibility	Tier 4 screen-specific mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	Gene Expression	CADM3		target_gene_expression_row
GSM9558423	H187	15629	ENSG00000104327	CALB1	CALB1	chr8	90081520	90082879	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Gene Expression	CALB1		target_gene_expression_row
GSM9558423	H187	27709	ENSG00000172137	CALB2	CALB2	chr16	71358712	71358723	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation	Gene Expression	CALB2		target_gene_expression_row
GSM9558423	H187	24700	ENSG00000198668	CALM1	CALM1	chr14	90397028	90399082	high	ConstructionBalance	downstream_synaptic_excitability	Gene Expression	CALM1		target_gene_expression_row
