gene	canonical_gene	candidate_role	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	combined_rank_delta	minimum_branch_detection	db_class_key	human_symbol	mouse_symbol	canonical_mouse_symbol	ortholog_symbol_class	human_entrez_id	mouse_entrez_id	human_hgnc_id	mouse_mgi_id	present_in_human_dg_full_gene_list
TMEM178A	TMEM178A	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.5998140058699064	0.503462730089302	5	3	0.07600343072186334	0.005366742498130141	True	True	1.0	0.503462730089302	51627046	TMEM178A	Tmem178	TMEM178	nonidentical_symbol	130733	68027	HGNC:28517	MGI:1915277	True
ZNF148	ZNF148	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.7348546823753503	0.43569009861528285	5	3	0.07600343072186334	0.015247217002160102	True	True	1.0	0.43569009861528285	51619454	ZNF148	Zfp148	ZFP148	nonidentical_symbol	7707	22661	HGNC:12933	MGI:1332234	True
C1orf21	C1ORF21	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.7123515033103542	0.4308700154014823	5	3	0.07600343072186334	0.015247217002160102	True	True	1.0	0.4308700154014823	51627885	C1orf21	1700025G04Rik	1700025G04RIK	nonidentical_symbol	81563	69399	HGNC:15494	MGI:1916649	True
ZNF536	ZNF536	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.5815579994539621	0.4280775736515864	5	3	0.07600343072186334	0.005366742498130141	True	True	1.0	0.4280775736515864	51624606	ZNF536	Zfp536	ZFP536	nonidentical_symbol	9745	243937	HGNC:29025	MGI:1926102	True
ZNF226	ZNF226	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.12777576714946892	0.13241101667384442	5	3	0.07600343072186334	0.015247217002160102	True	True	1.0	0.12777576714946892	51630703	ZNF226	Zfp61	ZFP61	nonidentical_symbol	7769	22719	HGNC:13019	MGI:99663	True
ZNF263	ZNF263	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.12676912371157015	0.1740288958855728	5	3	0.07600343072186334	0.03613674988490279	True	True	1.0	0.12676912371157015	51636364	ZNF263	Zfp263	ZFP263	nonidentical_symbol	10127	74120	HGNC:13056	MGI:1921370	True
C5orf22	C5ORF22	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.13588017393182034	0.10235170563377924	5	2	0.07600343072186334	0.03613674988490279	True	True	1.0	0.10235170563377924	51630556	C5orf22	6030458C11Rik	6030458C11RIK	nonidentical_symbol	55322	77877	HGNC:25639	MGI:1925127	True
ZNF667	ZNF667	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.39130094893013845	0.09468327636682056	5	3	0.07600343072186334	0.03613674988490279	True	True	1.0	0.09468327636682056	51624148	ZNF667	Zfp667	ZFP667	nonidentical_symbol	63934	384763	HGNC:28854	MGI:2442757	True
ZNF12	ZNF12	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.15612174001879606	0.08369430764473204	5	2	0.07600343072186334	0.03613674988490279	True	True	1.0	0.08369430764473204	51636330	ZNF12	Zfp12	ZFP12	nonidentical_symbol	7559	231866	HGNC:12902	MGI:99157	True
ZNF189	ZNF189	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.33078870834780494	0.06084783441231274	4	2	0.07600343072186334	0.005366742498130141	True	True	1.0	0.06084783441231274	51626056	ZNF189	Zfp189	ZFP189	nonidentical_symbol	7743	230162	HGNC:12980	MGI:2444707	True
ZNF706	ZNF706	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.7066422703609911	0.6940263992141283	5	3	0.2047379835013634	0.015247217002160102	True	False	1.0	0.6940263992141283	51630255	ZNF706	Zfp706	ZFP706	nonidentical_symbol	51123	68036	HGNC:24992	MGI:1915286	True
ZNF207	ZNF207	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.6824753162862134	0.6588757961822451	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.6588757961822451	51627378	ZNF207	Zfp207	ZFP207	nonidentical_symbol	7756	22680	HGNC:12998	MGI:1340045	True
PRP4K	PRP4K	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	5	10	1.0	0.5	0.5	0.030093938344890565	0.7310944925915572	0.5941402497598463	4	2	0.2047379835013634	0.10642276028215444	True	False	1.0	0.5941402497598463	51623955	PRP4K	Prpf4b	PRPF4B	nonidentical_symbol	8899	19134	HGNC:17346	MGI:109584	False
MIR124-1HG	MIR124-1HG	mgi_one_to_one_ortholog_gene	2	2	1.0	0.5	0.5	0.09696542614120529	5	10	1.0	0.5	0.5	0.0007477303749822311	0.5921976082205485	0.5714899098325461	2	2	0.2047379835013634	0.015247217002160102	True	False	1.0	0.5714899098325461	51633788	MIR124-1HG	Mir124a-1hg	MIR124A-1HG	nonidentical_symbol	157627	268755	HGNC:27231	MGI:2442197	False
C11orf58	C11ORF58	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.5592570041771157	0.8156856311919156	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.5592570041771157	51630565	C11orf58	1110004F10Rik	1110004F10RIK	nonidentical_symbol	10944	56372	HGNC:16990	MGI:1929274	True
RAB7A	RAB7A	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.5513143887579666	0.5609599381090526	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.5513143887579666	51624011	RAB7A	Rab7	RAB7	nonidentical_symbol	7879	19349	HGNC:9788	MGI:105068	True
ZNF292	ZNF292	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.6845922068948498	0.5404378294266657	5	3	0.2047379835013634	0.015247217002160102	True	False	1.0	0.5404378294266657	51621040	ZNF292	Zfp292	ZFP292	nonidentical_symbol	23036	30046	HGNC:18410	MGI:1353423	True
ZNF644	ZNF644	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.5218701225424054	0.5205256448771141	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.5205256448771141	51620701	ZNF644	Zfp644	ZFP644	nonidentical_symbol	84146	52397	HGNC:29222	MGI:1277212	True
TUBB	TUBB	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.4517793433429188	0.9956112352377913	5	3	0.2047379835013634	0.005366742498130141	True	False	1.0	0.4517793433429188	51630534	TUBB	Tubb5	TUBB5	nonidentical_symbol	203068	22154	HGNC:20778	MGI:107812	True
ZNF326	ZNF326	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.470357185516347	0.42088952732733886	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.42088952732733886	51626137	ZNF326	Zfp326	ZFP326	nonidentical_symbol	284695	54367	HGNC:14104	MGI:1927246	True
TOMM70	TOMM70	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	5	10	1.0	0.5	0.5	0.030093938344890565	0.40698306359395076	0.4443614637789395	5	2	0.07600343072186334	0.10642276028215444	True	False	1.0	0.40698306359395076	51627073	TOMM70	Tomm70a	TOMM70A	nonidentical_symbol	9868	28185	HGNC:11985	MGI:106295	True
GPRASP3	GPRASP3	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	5	10	1.0	0.5	0.5	0.030093938344890565	0.34990877543528087	0.43010752688172044	4	2	0.2047379835013634	0.10642276028215444	True	False	1.0	0.34990877543528087	51633011	GPRASP3	Bhlhb9	BHLHB9	nonidentical_symbol	80823	70237	HGNC:29353	MGI:1917487	False
TMEM167A	TMEM167A	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.33550084693017834	0.479532823390149	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.33550084693017834	51627045	TMEM167A	Tmem167	TMEM167	nonidentical_symbol	153339	66074	HGNC:28330	MGI:1913324	True
CENPC	CENPC	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.3308916906930909	0.33773161757740777	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.3308916906930909	51632297	CENPC	Cenpc1	CENPC1	nonidentical_symbol	1060	12617	HGNC:1854	MGI:99700	True
ZNF280D	ZNF280D	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.42478984910058337	0.33020165019129794	5	3	0.2047379835013634	0.005366742498130141	True	False	1.0	0.33020165019129794	51619943	ZNF280D	Zfp280d	ZFP280D	nonidentical_symbol	54816	235469	HGNC:25953	MGI:2384583	True
CAMLG	CAMLG	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.3293473357951813	0.3334455510686922	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.3293473357951813	51629970	CAMLG	Caml	CAML	nonidentical_symbol	819	12328	HGNC:1471	MGI:104728	True
C9orf85	C9ORF85	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.27655742042238696	0.33009790402816463	5	3	0.2047379835013634	0.005366742498130141	True	False	1.0	0.27655742042238696	51630660	C9orf85	1110059E24Rik	1110059E24RIK	nonidentical_symbol	138241	66206	HGNC:28784	MGI:1913456	True
NT5C3A	NT5C3A	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.2701073402391626	0.39217899544611107	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.2701073402391626	51619567	NT5C3A	Nt5c3	NT5C3	nonidentical_symbol	51251	107569	HGNC:17820	MGI:1927186	True
C1orf52	C1ORF52	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.3490979961327575	0.2690394144388424	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.2690394144388424	51629958	C1orf52	2410004B18Rik	2410004B18RIK	nonidentical_symbol	148423	66421	HGNC:24871	MGI:1913671	True
C16orf87	C16ORF87	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.26498749970688973	0.2937673031270574	5	3	0.2047379835013634	0.015247217002160102	True	False	1.0	0.26498749970688973	51630652	C16orf87	4921524J17Rik	4921524J17RIK	nonidentical_symbol	388272	66714	HGNC:33754	MGI:1913964	True
ZNF821	ZNF821	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.25763945023255985	0.3311337770152649	5	3	0.2047379835013634	0.015247217002160102	True	False	1.0	0.25763945023255985	51631671	ZNF821	Zfp821	ZFP821	nonidentical_symbol	55565	75871	HGNC:28043	MGI:1923121	True
FH	FH	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.24009675502240235	0.3121544767724722	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.24009675502240235	51622623	FH	Fh1	FH1	nonidentical_symbol	2271	14194	HGNC:3700	MGI:95530	True
AFG3L1P	AFG3L1P	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	5	10	1.0	0.5	0.5	0.030093938344890565	0.2359784339267622	0.3943241224794623	4	2	0.2047379835013634	0.10642276028215444	True	False	1.0	0.2359784339267622	51624502	AFG3L1P	Afg3l1	AFG3L1	nonidentical_symbol	172	114896	HGNC:314	MGI:1928277	False
